date,amount,index
2009/4/27,74000,483
2009/4/28,74595,484
2009/4/29,68822,485
2009/4/30,72877,486
2009/5/1,72021,487
2009/5/2,66183,488
2009/5/3,61584,489
2009/5/4,62185,490
2009/5/5,63482,491
2009/5/6,66967,492
2009/5/7,74880,493
2009/5/8,76598,494
2009/5/9,71377,495
2009/5/10,68287,496
2009/5/11,77860,497
2009/5/12,80622,498
2009/5/13,80269,499
2009/5/14,77677,500
2009/5/15,76191,501
2009/5/16,70402,502
2009/5/17,67350,503
2009/5/18,78090,504
2009/5/19,79738,505
2009/5/20,81206,506
2009/5/21,81803,507
2009/5/22,80439,508
2009/5/23,74529,509
2009/5/24,68170,510
2009/5/25,77022,511
2009/5/26,80074,512
2009/5/27,79959,513
2009/5/28,79185,514
2009/5/29,77652,515
2009/5/30,71636,516
2009/5/31,68287,517
2009/6/1,76156,518
2009/6/2,79218,519
2009/6/3,79686,520
2009/6/4,80004,521
2009/6/5,79870,522
2009/6/6,73234,523
2009/6/7,69444,524
2009/6/8,77720,525
2009/6/9,80467,526
2009/6/10,81703,527
2009/6/11,81665,528
2009/6/12,81110,529
2009/6/13,75071,530
2009/6/14,70040,531
2009/6/15,79459,532
2009/6/16,80528,533
2009/6/17,80667,534
2009/6/18,81116,535
2009/6/19,81683,536
2009/6/20,75750,537
2009/6/21,72968,538
2009/6/22,83786,539
2009/6/23,90152,540
2009/6/24,87259,541
2009/6/25,87500,542
2009/6/26,89362,543
2009/6/27,82709,544
2009/6/28,73852,545
2009/6/29,86522,546
2009/6/30,85130,547
2009/7/1,85831,548
2009/7/2,84379,549
2009/7/3,84076,550
2009/7/4,77276,551
2009/7/5,72911,552
2009/7/6,84680,553
2009/7/7,92077,554
2009/7/8,91306,555
2009/7/9,94357,556
2009/7/10,93655,557
2009/7/11,78078,558
2009/7/12,76411,559
2009/7/13,94725,560
2009/7/14,95413,561
2009/7/15,101101,562
2009/7/16,102869,563
2009/7/17,93931,564
2009/7/18,86683,565
2009/7/19,85304,566
2009/7/20,84603,567
2009/7/21,86866,568
2009/7/22,88787,569
2009/7/23,91052,570
2009/7/24,92446,571
2009/7/25,87078,572
2009/7/26,88243,573
2009/7/27,95512,574
2009/7/28,94071,575
2009/7/29,98436,576
2009/7/30,101541,577
2009/7/31,87848,578
2009/8/1,79341,579
2009/8/2,76021,580
2009/8/3,92063,581
2009/8/4,94943,582
2009/8/5,98239,583
2009/8/6,98757,584
2009/8/7,100886,585
2009/8/8,87878,586
2009/8/9,85300,587
2009/8/10,92166,588
2009/8/11,90002,589
2009/8/12,85936,590
2009/8/13,88439,591
2009/8/14,86191,592
2009/8/15,79294,593
2009/8/16,79458,594
2009/8/17,91265,595
2009/8/18,93953,596
2009/8/19,94723,597
2009/8/20,96671,598
2009/8/21,98494,599
2009/8/22,91731,600
2009/8/23,81808,601
2009/8/24,90612,602
2009/8/25,87649,603
2009/8/26,86887,604
2009/8/27,89672,605
2009/8/28,94169,606
2009/8/29,87872,607
2009/8/30,75797,608
2009/8/31,79935,609
2009/9/1,89912,610
2009/9/2,83662,611
2009/9/3,83201,612
2009/9/4,83755,613
2009/9/5,77979,614
2009/9/6,75053,615
2009/9/7,88501,616
2009/9/8,90691,617
2009/9/9,85089,618
2009/9/10,84770,619
2009/9/11,83948,620
2009/9/12,75258,621
2009/9/13,72211,622
2009/9/14,82056,623
2009/9/15,83072,624
2009/9/16,84979,625
2009/9/17,83755,626
2009/9/18,81293,627
2009/9/19,73027,628
2009/9/20,68869,629
2009/9/21,70701,630
2009/9/22,73720,631
2009/9/23,75809,632
2009/9/24,83407,633
2009/9/25,84520,634
2009/9/26,76989,635
2009/9/27,70478,636
2009/9/28,81680,637
2009/9/29,84188,638
2009/9/30,81314,639
2009/10/1,81085,640
2009/10/2,82571,641
2009/10/3,75893,642
2009/10/4,70362,643
2009/10/5,79748,644
2009/10/6,81505,645
